County_state,Countydescr,Count_of_Accident
49.0000000,Marion,12375
25.0000000,Fulton,229
22.0000000,Floyd,826
32.0000000,Hendrick,1574
18.0000000,Delaware,1240
10.0000000,Clark,1411
17.0000000,"De Kalb",439
42.0000000,Knox,275
20.0000000,Elkhart,2626
40.0000000,Jennings,188
16.0000000,Decatur,269
21.0000000,Fayette,136
79.0000000,Tippecan,2425
29.0000000,Hamilton,3120
19.0000000,Dubois,426
89.0000000,Wayne,734
6.0000000,Boone,704
74.0000000,Spencer,131
34.0000000,Howard,989
84.0000000,Vigo,1089
71.0000000,"St Josep",3790
64.0000000,Porter,1705
23.0000000,Fountain,160
45.0000000,Lake,5934
47.0000000,Lawrence,442
48.0000000,Madison,1501
27.0000000,Grant,816
82.0000000,Vanderbu,2101
70.0000000,Rush,151
11.0000000,Clay,230
2.0000000,Allen,5113
43.0000000,Kosciusk,967
33.0000000,Henry,336
73.0000000,Shelby,507
39.0000000,Jefferso,273
9.0000000,Cass,568
46.0000000,LaPorte,1548
55.0000000,Morgan,734
37.0000000,Jasper,380
87.0000000,Warrick,493
53.0000000,Monroe,1245
62.0000000,Perry,130
50.0000000,Marshall,638
15.0000000,Dearborn,534
12.0000000,Clinton,403
30.0000000,Hancock,728
56.0000000,Newton,102
77.0000000,Sullivan,122
83.0000000,Vermilli,123
26.0000000,Gibson,271
68.0000000,Randolph,165
88.0000000,Washingt,178
41.0000000,Johnson,1324
52.0000000,Miami,367
66.0000000,Pulaski,163
36.0000000,Jackson,489
31.0000000,Harrison,316
76.0000000,Steuben,479
54.0000000,Montgome,330
85.0000000,Wabash,249
90.0000000,Wells,311
1.0000000,Adams,242
92.0000000,Whitley,411
67.0000000,Putnam,351
3.0000000,Bartholo,657
5.0000000,Blackfor,66
35.0000000,Huntingt,479
69.0000000,Ripley,214
57.0000000,Noble,473
61.0000000,Parke,93
44.0000000,LaGrange,269
75.0000000,Starke,201
65.0000000,Posey,134
60.0000000,Owen,194
72.0000000,Scott,179
28.0000000,Greene,280
38.0000000,Jay,146
7.0000000,Brown,172
91.0000000,White,273
8.0000000,Carroll,132
80.0000000,Tipton,140
59.0000000,Orange,162
24.0000000,Franklin,101
,,3
58.0000000,Ohio,49
4.0000000,Benton,29
13.0000000,Crawford,90
63.0000000,Pike,28
51.0000000,Martin,36
14.0000000,Daviess,83
86.0000000,Warren,61
81.0000000,Union,14
78.0000000,Switzerl,30
